popularity,is_collaboration,num_artists,track_name_length,release_year,release_month,release_day_of_week,is_explicit,artist_popularity,artist_followers
71,1,3,39,2021.0,5.0,4.0,1,82,27099455
71,1,2,8,2025.0,2.0,4.0,1,83,10146489
71,1,2,13,2011.0,8.0,0.0,1,86,17967990
71,0,1,8,2025.0,3.0,4.0,1,86,15058026
71,1,2,41,2018.0,6.0,4.0,0,95,103251589
71,0,1,10,2019.0,10.0,4.0,0,89,31088986
71,1,2,23,2025.0,1.0,4.0,1,85,21687055
71,0,1,7,2022.0,6.0,4.0,0,95,103251589
71,0,1,14,2023.0,10.0,4.0,1,95,103251589
71,0,1,7,2011.0,7.0,5.0,1,89,44682383
71,0,1,15,2018.0,4.0,4.0,1,81,25971799
71,0,1,18,2020.0,9.0,4.0,1,85,14990942
71,1,2,13,2010.0,1.0,4.0,1,84,34311895
71,0,1,6,2013.0,4.0,0.0,1,87,24492412
71,0,1,7,2025.0,8.0,4.0,1,85,10381399
71,0,1,5,2021.0,11.0,4.0,1,90,41193212
71,0,1,18,2020.0,5.0,4.0,1,89,22723977
71,0,1,10,2021.0,8.0,6.0,0,89,31088986
71,0,1,16,2021.0,9.0,4.0,1,95,103251589
71,0,1,7,2025.0,8.0,4.0,1,85,10381399
71,0,1,5,2020.0,12.0,4.0,1,85,21687055
71,1,2,16,2011.0,9.0,1.0,0,82,27099455
70,0,1,31,2025.0,7.0,0.0,1,87,24492412
70,0,1,9,2017.0,3.0,5.0,1,95,103251589
70,1,3,41,2019.0,8.0,4.0,1,84,12436593
70,0,1,23,2014.0,8.0,0.0,1,90,41193212
70,0,1,5,2018.0,10.0,1.0,1,81,25971799
70,1,2,27,2025.0,8.0,4.0,1,85,10381399
70,1,3,50,2015.0,9.0,4.0,1,90,41193212
70,0,1,6,2022.0,6.0,4.0,1,95,103251589
70,0,1,15,2022.0,10.0,0.0,1,82,19276073
70,1,2,16,2020.0,11.0,4.0,1,89,22723977
70,0,1,13,2018.0,8.0,4.0,1,90,41193212
70,1,2,31,2018.0,4.0,0.0,1,85,10381399
